mode,period,max_lag,threshold,n_edges,density
log_price,3,1,0.035451506579504286,585,0.6724137931034483
log_price,3,1,0.04051600751943347,514,0.5908045977011495
log_price,3,1,0.04558050845936265,441,0.506896551724138
log_price,3,1,0.050645009399291833,360,0.41379310344827586
log_price,3,1,0.055709510339221016,276,0.31724137931034485
log_price,3,1,0.060774011279150206,219,0.2517241379310345
log_price,3,1,0.06583851221907938,164,0.18850574712643678
log_price,3,1,0.07090301315900857,114,0.1310344827586207
log_price,3,1,0.07596751409893775,78,0.0896551724137931
log_price,3,1,0.08103201503886694,43,0.04942528735632184
log_price,3,1,0.08609651597879613,28,0.03218390804597701
log_price,3,1,0.0911610169187253,16,0.01839080459770115
log_price,3,1,0.09622551785865449,9,0.010344827586206896
log_price,3,1,0.10129001879858367,3,0.0034482758620689655
log_price,3,1,0.10635451973851286,2,0.0022988505747126436
log_price,3,1,0.11141902067844203,1,0.0011494252873563218
log_price,3,1,0.11648352161837122,0,0.0
log_price,3,1,0.1215480225583004,0,0.0
log_price,3,2,0.0,860,0.9885057471264368
log_price,3,2,0.0050645009399291835,850,0.9770114942528736
log_price,3,2,0.010129001879858367,831,0.9551724137931035
log_price,3,2,0.015193502819787551,797,0.9160919540229885
log_price,3,2,0.020258003759716734,757,0.8701149425287357
log_price,3,2,0.025322504699645917,702,0.8068965517241379
log_price,3,2,0.030387005639575103,641,0.7367816091954023
log_price,3,2,0.035451506579504286,574,0.6597701149425287
log_price,3,2,0.04051600751943347,503,0.5781609195402299
log_price,3,2,0.04558050845936265,412,0.4735632183908046
log_price,3,2,0.050645009399291833,334,0.3839080459770115
log_price,3,2,0.055709510339221016,268,0.3080459770114943
log_price,3,2,0.060774011279150206,193,0.2218390804597701
log_price,3,2,0.06583851221907938,134,0.15402298850574714
log_price,3,2,0.07090301315900857,81,0.09310344827586207
log_price,3,2,0.07596751409893775,45,0.05172413793103448
log_price,3,2,0.08103201503886694,29,0.03333333333333333
log_price,3,2,0.08609651597879613,15,0.017241379310344827
log_price,3,2,0.0911610169187253,10,0.011494252873563218
log_price,3,2,0.09622551785865449,5,0.005747126436781609
log_price,3,2,0.10129001879858367,2,0.0022988505747126436
log_price,3,2,0.10635451973851286,1,0.0011494252873563218
log_price,3,2,0.11141902067844203,0,0.0
log_price,3,2,0.11648352161837122,0,0.0
log_price,3,2,0.1215480225583004,0,0.0
log_price,3,3,0.0,744,0.8551724137931035
log_price,3,3,0.0050645009399291835,692,0.7954022988505747
log_price,3,3,0.010129001879858367,609,0.7
log_price,3,3,0.015193502819787551,521,0.5988505747126437
log_price,3,3,0.020258003759716734,415,0.47701149425287354
log_price,3,3,0.025322504699645917,313,0.35977011494252875
log_price,3,3,0.030387005639575103,225,0.25862068965517243
log_price,3,3,0.035451506579504286,172,0.19770114942528735
log_price,3,3,0.04051600751943347,107,0.12298850574712644
log_price,3,3,0.04558050845936265,71,0.08160919540229886
log_price,3,3,0.050645009399291833,39,0.04482758620689655
log_price,3,3,0.055709510339221016,20,0.022988505747126436
log_price,3,3,0.060774011279150206,11,0.01264367816091954
log_price,3,3,0.06583851221907938,5,0.005747126436781609
log_price,3,3,0.07090301315900857,3,0.0034482758620689655
log_price,3,3,0.07596751409893775,3,0.0034482758620689655
log_price,3,3,0.08103201503886694,0,0.0
log_price,3,3,0.08609651597879613,0,0.0
log_price,3,3,0.0911610169187253,0,0.0
log_price,3,3,0.09622551785865449,0,0.0
log_price,3,3,0.10129001879858367,0,0.0
log_price,3,3,0.10635451973851286,0,0.0
log_price,3,3,0.11141902067844203,0,0.0
log_price,3,3,0.11648352161837122,0,0.0
log_price,3,3,0.1215480225583004,0,0.0
log_return,0,1,0.0,429,0.49310344827586206
log_return,0,1,0.002848736351328554,388,0.4459770114942529
log_return,0,1,0.005697472702657108,347,0.3988505747126437
log_return,0,1,0.008546209053985662,296,0.34022988505747126
log_return,0,1,0.011394945405314216,264,0.30344827586206896
