method,mode,period,max_lag,K,alpha,n_edges,density
granger,log_price,3,2,5,0.05,78,0.0896551724137931
granger,log_price,3,2,5,0.1,109,0.12528735632183907
granger,log_price,3,2,5,0.2,139,0.15977011494252874
granger,log_price,3,2,5,0.3,149,0.17126436781609194
granger,log_price,3,2,5,0.5,150,0.1724137931034483
granger,log_price,3,2,4,0.001,9,0.010344827586206896
granger,log_price,3,2,4,0.005,24,0.027586206896551724
granger,log_price,3,2,4,0.01,31,0.035632183908045977
granger,log_price,3,2,4,0.02,47,0.054022988505747126
granger,log_price,3,2,4,0.05,69,0.07931034482758621
granger,log_price,3,2,4,0.1,95,0.10919540229885058
granger,log_price,3,2,4,0.2,117,0.13448275862068965
granger,log_price,3,2,4,0.3,120,0.13793103448275862
granger,log_price,3,2,4,0.5,120,0.13793103448275862
granger,log_price,3,3,none,0.001,5,0.005747126436781609
granger,log_price,3,3,none,0.005,16,0.01839080459770115
granger,log_price,3,3,none,0.01,20,0.022988505747126436
granger,log_price,3,3,none,0.02,38,0.04367816091954023
granger,log_price,3,3,none,0.05,86,0.09885057471264368
granger,log_price,3,3,none,0.1,162,0.18620689655172415
granger,log_price,3,3,none,0.2,294,0.33793103448275863
granger,log_price,3,3,none,0.3,411,0.4724137931034483
granger,log_price,3,3,none,0.5,574,0.6597701149425287
granger,log_price,3,3,5,0.001,5,0.005747126436781609
granger,log_price,3,3,5,0.005,16,0.01839080459770115
granger,log_price,3,3,5,0.01,20,0.022988505747126436
granger,log_price,3,3,5,0.02,37,0.04252873563218391
granger,log_price,3,3,5,0.05,76,0.08735632183908046
granger,log_price,3,3,5,0.1,123,0.1413793103448276
granger,log_price,3,3,5,0.2,144,0.16551724137931034
granger,log_price,3,3,5,0.3,149,0.17126436781609194
granger,log_price,3,3,5,0.5,150,0.1724137931034483
granger,log_price,3,3,4,0.001,5,0.005747126436781609
granger,log_price,3,3,4,0.005,16,0.01839080459770115
granger,log_price,3,3,4,0.01,20,0.022988505747126436
granger,log_price,3,3,4,0.02,35,0.040229885057471264
granger,log_price,3,3,4,0.05,71,0.08160919540229886
granger,log_price,3,3,4,0.1,106,0.12183908045977011
granger,log_price,3,3,4,0.2,116,0.13333333333333333
granger,log_price,3,3,4,0.3,120,0.13793103448275862
granger,log_price,3,3,4,0.5,120,0.13793103448275862
digauss,log_price,0,1,none,0.001,8,0.009195402298850575
digauss,log_price,0,1,none,0.005,15,0.017241379310344827
digauss,log_price,0,1,none,0.01,22,0.02528735632183908
digauss,log_price,0,1,none,0.02,44,0.05057471264367816
digauss,log_price,0,1,none,0.05,85,0.09770114942528736
digauss,log_price,0,1,none,0.1,149,0.17126436781609194
digauss,log_price,0,1,none,0.2,259,0.29770114942528736
digauss,log_price,0,1,none,0.3,355,0.40804597701149425
digauss,log_price,0,1,none,0.5,502,0.5770114942528736
digauss,log_price,0,1,5,0.001,8,0.009195402298850575
digauss,log_price,0,1,5,0.005,14,0.016091954022988506
digauss,log_price,0,1,5,0.01,18,0.020689655172413793
digauss,log_price,0,1,5,0.02,33,0.03793103448275862
digauss,log_price,0,1,5,0.05,64,0.0735632183908046
digauss,log_price,0,1,5,0.1,99,0.11379310344827587
digauss,log_price,0,1,5,0.2,135,0.15517241379310345
digauss,log_price,0,1,5,0.3,145,0.16666666666666666
digauss,log_price,0,1,5,0.5,150,0.1724137931034483
digauss,log_price,0,1,4,0.001,8,0.009195402298850575
digauss,log_price,0,1,4,0.005,13,0.014942528735632184
digauss,log_price,0,1,4,0.01,17,0.01954022988505747
digauss,log_price,0,1,4,0.02,31,0.035632183908045977
digauss,log_price,0,1,4,0.05,58,0.06666666666666667
digauss,log_price,0,1,4,0.1,88,0.10114942528735632
digauss,log_price,0,1,4,0.2,111,0.12758620689655173
digauss,log_price,0,1,4,0.3,117,0.13448275862068965
digauss,log_price,0,1,4,0.5,120,0.13793103448275862
digauss,log_price,0,2,none,0.001,16,0.01839080459770115
digauss,log_price,0,2,none,0.005,31,0.035632183908045977
digauss,log_price,0,2,none,0.01,42,0.04827586206896552
digauss,log_price,0,2,none,0.02,59,0.067816091954023
digauss,log_price,0,2,none,0.05,103,0.11839080459770115
digauss,log_price,0,2,none,0.1,165,0.1896551724137931
digauss,log_price,0,2,none,0.2,289,0.332183908045977
digauss,log_price,0,2,none,0.3,375,0.43103448275862066
digauss,log_price,0,2,none,0.5,543,0.6241379310344828
digauss,log_price,0,2,5,0.001,14,0.016091954022988506
digauss,log_price,0,2,5,0.005,25,0.028735632183908046
digauss,log_price,0,2,5,0.01,35,0.040229885057471264
digauss,log_price,0,2,5,0.02,47,0.054022988505747126
digauss,log_price,0,2,5,0.05,79,0.09080459770114943
digauss,log_price,0,2,5,0.1,119,0.1367816091954023
digauss,log_price,0,2,5,0.2,150,0.1724137931034483
digauss,log_price,0,2,5,0.3,150,0.1724137931034483
digauss,log_price,0,2,5,0.5,150,0.1724137931034483
digauss,log_price,0,2,4,0.001,13,0.014942528735632184
digauss,log_price,0,2,4,0.005,23,0.026436781609195402
digauss,log_price,0,2,4,0.01,33,0.03793103448275862
digauss,log_price,0,2,4,0.02,45,0.05172413793103448
digauss,log_price,0,2,4,0.05,74,0.08505747126436781
digauss,log_price,0,2,4,0.1,104,0.11954022988505747
digauss,log_price,0,2,4,0.2,120,0.13793103448275862
digauss,log_price,0,2,4,0.3,120,0.13793103448275862
digauss,log_price,0,2,4,0.5,120,0.13793103448275862
digauss,log_price,0,3,none,0.001,5,0.005747126436781609
digauss,log_price,0,3,none,0.005,23,0.026436781609195402
digauss,log_price,0,3,none,0.01,39,0.04482758620689655
digauss,log_price,0,3,none,0.02,68,0.07816091954022988
digauss,log_price,0,3,none,0.05,114,0.1310344827586207
digauss,log_price,0,3,none,0.1,169,0.19425287356321838
digauss,log_price,0,3,none,0.2,269,0.30919540229885056
digauss,log_price,0,3,none,0.3,350,0.40229885057471265
digauss,log_price,0,3,none,0.5,511,0.5873563218390805
digauss,log_price,0,3,5,0.001,5,0.005747126436781609
digauss,log_price,0,3,5,0.005,21,0.02413793103448276
digauss,log_price,0,3,5,0.01,33,0.03793103448275862
digauss,log_price,0,3,5,0.02,50,0.05747126436781609
digauss,log_price,0,3,5,0.05,73,0.0839080459770115
digauss,log_price,0,3,5,0.1,104,0.11954022988505747
digauss,log_price,0,3,5,0.2,135,0.15517241379310345
digauss,log_price,0,3,5,0.3,148,0.17011494252873563
digauss,log_price,0,3,5,0.5,150,0.1724137931034483
digauss,log_price,0,3,4,0.001,5,0.005747126436781609
digauss,log_price,0,3,4,0.005,20,0.022988505747126436
digauss,log_price,0,3,4,0.01,31,0.035632183908045977
digauss,log_price,0,3,4,0.02,45,0.05172413793103448
digauss,log_price,0,3,4,0.05,66,0.07586206896551724
digauss,log_price,0,3,4,0.1,92,0.10574712643678161
digauss,log_price,0,3,4,0.2,113,0.12988505747126436
digauss,log_price,0,3,4,0.3,120,0.13793103448275862
digauss,log_price,0,3,4,0.5,120,0.13793103448275862
digauss,log_price,1,1,none,0.001,2,0.0022988505747126436
digauss,log_price,1,1,none,0.005,12,0.013793103448275862
digauss,log_price,1,1,none,0.01,24,0.027586206896551724
digauss,log_price,1,1,none,0.02,43,0.04942528735632184
digauss,log_price,1,1,none,0.05,94,0.10804597701149425
digauss,log_price,1,1,none,0.1,154,0.17701149425287357
digauss,log_price,1,1,none,0.2,247,0.28390804597701147
digauss,log_price,1,1,none,0.3,322,0.3701149425287356
digauss,log_price,1,1,none,0.5,497,0.5712643678160919
digauss,log_price,1,1,5,0.001,2,0.0022988505747126436
digauss,log_price,1,1,5,0.005,12,0.013793103448275862
digauss,log_price,1,1,5,0.01,24,0.027586206896551724
digauss,log_price,1,1,5,0.02,36,0.041379310344827586
digauss,log_price,1,1,5,0.05,67,0.07701149425287357
digauss,log_price,1,1,5,0.1,92,0.10574712643678161
digauss,log_price,1,1,5,0.2,118,0.135632183908046
digauss,log_price,1,1,5,0.3,133,0.1528735632183908
digauss,log_price,1,1,5,0.5,149,0.17126436781609194
digauss,log_price,1,1,4,0.001,2,0.0022988505747126436
digauss,log_price,1,1,4,0.005,12,0.013793103448275862
digauss,log_price,1,1,4,0.01,24,0.027586206896551724
digauss,log_price,1,1,4,0.02,33,0.03793103448275862
digauss,log_price,1,1,4,0.05,59,0.067816091954023
digauss,log_price,1,1,4,0.1,78,0.0896551724137931
digauss,log_price,1,1,4,0.2,100,0.11494252873563218
digauss,log_price,1,1,4,0.3,111,0.12758620689655173
digauss,log_price,1,1,4,0.5,120,0.13793103448275862
digauss,log_price,1,2,none,0.001,5,0.005747126436781609
digauss,log_price,1,2,none,0.005,9,0.010344827586206896
digauss,log_price,1,2,none,0.01,18,0.020689655172413793
digauss,log_price,1,2,none,0.02,28,0.03218390804597701
digauss,log_price,1,2,none,0.05,68,0.07816091954022988
digauss,log_price,1,2,none,0.1,111,0.12758620689655173
digauss,log_price,1,2,none,0.2,213,0.24482758620689654
digauss,log_price,1,2,none,0.3,296,0.34022988505747126
digauss,log_price,1,2,none,0.5,479,0.5505747126436782
digauss,log_price,1,2,5,0.001,5,0.005747126436781609
digauss,log_price,1,2,5,0.005,9,0.010344827586206896
digauss,log_price,1,2,5,0.01,17,0.01954022988505747
digauss,log_price,1,2,5,0.02,26,0.029885057471264367
digauss,log_price,1,2,5,0.05,59,0.067816091954023
digauss,log_price,1,2,5,0.1,88,0.10114942528735632
digauss,log_price,1,2,5,0.2,126,0.14482758620689656
digauss,log_price,1,2,5,0.3,135,0.15517241379310345
digauss,log_price,1,2,5,0.5,150,0.1724137931034483
digauss,log_price,1,2,4,0.001,4,0.004597701149425287
digauss,log_price,1,2,4,0.005,8,0.009195402298850575
digauss,log_price,1,2,4,0.01,16,0.01839080459770115
digauss,log_price,1,2,4,0.02,25,0.028735632183908046
digauss,log_price,1,2,4,0.05,56,0.06436781609195402
digauss,log_price,1,2,4,0.1,76,0.08735632183908046
digauss,log_price,1,2,4,0.2,106,0.12183908045977011
digauss,log_price,1,2,4,0.3,111,0.12758620689655173
digauss,log_price,1,2,4,0.5,120,0.13793103448275862
digauss,log_price,1,3,none,0.001,7,0.008045977011494253
digauss,log_price,1,3,none,0.005,15,0.017241379310344827
digauss,log_price,1,3,none,0.01,21,0.02413793103448276
digauss,log_price,1,3,none,0.02,36,0.041379310344827586
digauss,log_price,1,3,none,0.05,71,0.08160919540229886
digauss,log_price,1,3,none,0.1,140,0.16091954022988506
digauss,log_price,1,3,none,0.2,254,0.29195402298850576
digauss,log_price,1,3,none,0.3,369,0.4241379310344828
digauss,log_price,1,3,none,0.5,547,0.628735632183908
digauss,log_price,1,3,5,0.001,7,0.008045977011494253
digauss,log_price,1,3,5,0.005,14,0.016091954022988506
digauss,log_price,1,3,5,0.01,19,0.021839080459770115
digauss,log_price,1,3,5,0.02,33,0.03793103448275862
digauss,log_price,1,3,5,0.05,61,0.07011494252873564
digauss,log_price,1,3,5,0.1,99,0.11379310344827587
digauss,log_price,1,3,5,0.2,136,0.15632183908045977
digauss,log_price,1,3,5,0.3,149,0.17126436781609194
digauss,log_price,1,3,5,0.5,150,0.1724137931034483
digauss,log_price,1,3,4,0.001,7,0.008045977011494253
digauss,log_price,1,3,4,0.005,13,0.014942528735632184
digauss,log_price,1,3,4,0.01,18,0.020689655172413793
digauss,log_price,1,3,4,0.02,31,0.035632183908045977
digauss,log_price,1,3,4,0.05,56,0.06436781609195402
digauss,log_price,1,3,4,0.1,87,0.1
digauss,log_price,1,3,4,0.2,113,0.12988505747126436
digauss,log_price,1,3,4,0.3,120,0.13793103448275862
digauss,log_price,1,3,4,0.5,120,0.13793103448275862
digauss,log_price,2,1,none,0.001,5,0.005747126436781609
digauss,log_price,2,1,none,0.005,18,0.020689655172413793
digauss,log_price,2,1,none,0.01,33,0.03793103448275862
digauss,log_price,2,1,none,0.02,52,0.059770114942528735
digauss,log_price,2,1,none,0.05,80,0.09195402298850575
