Date,GOOGL,META,NFLX,DIS,CMCSA,TMUS,XOM,CVX,COP,SLB,EOG,MPC,JPM,BAC,MS,GS,C,WFC,AAPL,MSFT,NVDA,AVGO,AMD,ORCL,UNH,JNJ,LLY,ABBV,PFE,MRK
2018-12-10,0.43302737846471173,-0.497636119070667,0.542225454597882,0.5233257812621352,0.3755454506732923,0.5187007931241455,-0.5443707183491091,0.48715560567514515,0.9759910026918462,-1.7346680892370143,0.3174845798320271,0.4349173074144687,0.4685074599374629,0.1373859935190141,-0.13412143979871613,-0.9577479886239634,-0.3712359748751173,-0.45394026773164065,0.43525033310113115,0.9346456641437896,0.16227649864021804,0.4060913467258113,0.7745561434814944,0.1630513153133254,1.1986619266118201,1.596817646742148,1.4116182195632576,0.6819998499118085,1.6583682915886533,1.4112644875956648
2018-12-11,0.481940116082064,-0.48811262553178436,0.5091617386192882,0.5323485598248846,0.24638340904506417,0.5000802459837411,-0.5025757838720756,0.5309021226842172,0.9936868398485127,-1.8146499054392005,0.34622188698519935,0.4584421582564296,0.4233382191796841,0.11004101028444511,-0.14436626234609215,-1.0285410382829117,-0.4561903698513712,-0.6972108677145391,0.41284163600702506,0.9647578293031052,0.1170038729079701,0.5485278463235194,0.7736403357597772,0.12622173993715768,1.2089977099341556,1.6877106527195491,1.4303369164734956,0.7112948150192331,1.593808482344747,1.3836890631538374
2018-12-12,0.551028350501987,-0.38883906485146524,0.5806422029773783,0.5520004541460768,0.282017579243213,0.5529967026704259,-0.700324772799303,0.5432458715693624,0.9811581886571863,-1.79259798418761,0.4931052750546125,0.503792533431228,0.4530456342511732,0.10088208026835456,-0.12276803997500328,-1.032050895004042,-0.48041175814363946,-0.7019374431487603,0.4237169845112162,0.9794120559947259,0.12584871321432928,0.6964963424416074,0.8188774338802917,0.2760107820679859,1.2598315266939266,1.731416910370304,1.4230409074764945,0.7336654501502448,1.6187061206654714,1.4634418405756817
2018-12-13,0.5499479340723826,-0.3681309247143283,0.588999479673286,0.6480200197475253,0.22595795691984577,0.576981697812067,-0.4132485707014776,0.5695252462918314,1.0442094057519375,-1.839033483836471,0.4065610430939856,0.5089430670469389,0.45759751615951694,0.08249469141309654,-0.14664609399897052,-1.059483646389736,-0.5016907501396074,-0.8711503228420401,0.4662252292492232,0.9904349763416015,0.12572449172772057,0.7554957024782414,0.7626151007633994,0.26046090242222764,1.2820723504275802,1.7850699388355413,1.4467184113892242,0.6872452441882624,1.6863309846052654,1.5509868927147812
2018-12-14,0.42449806631908005,-0.40676522460126563,0.5206973839377581,0.5511827362086389,0.1180014218481953,0.5112604222806371,-0.8331140987398911,0.39488637865528536,0.9277279079281519,-2.057548053276946,0.18607723890995534,0.3614971319730089,0.41966916416766037,0.09476261897236446,-0.2573963280362242,-1.1715177862107014,-0.5783435073085865,-0.9894246318627001,0.3391716060973746,0.8871064839610945,0.09514530394333623,0.6938134470809939,0.7662975051866748,0.15079498273605518,1.1759510609694115,0.6539705728611562,1.3118746294988604,0.5758210110742392,1.558808756294063,1.3753170216806088
2018-12-17,0.2712867315108747,-0.5668274890446867,0.48989059643348665,0.42100997005250956,0.08433360019198627,0.4325792849387525,-1.304026883620636,0.2789070393700865,0.8198197010582651,-2.063379766853032,-0.1346895688451806,0.29214141019835277,0.360556797249158,0.09323057874377742,-0.2620676851371652,-1.3447568748571768,-0.6581349397979042,-0.9724529201490925,0.3026436006675331,0.7892592974856979,0.05851751902476869,0.6812670502878352,0.66514533978091,-0.0031203060127120786,1.069725285077506,0.33904814154297375,1.1427222881919867,0.539150972609246,1.4426164887229702,1.262053649614285
2018-12-18,0.37611764041433926,-0.42310850946825296,0.5514885115000526,0.32341075333892183,-0.06209162883450341,0.42975032377987726,-1.94315741107785,0.04695389585108625,0.7265865777948434,-2.2068566268577645,-0.32283946063178354,0.300283671464477,0.33865864170145843,0.09323057874377742,-0.22829667184027366,-1.2172693573825255,-0.6916301014444851,-0.9942796793728763,0.3530763116794004,0.8232474591044495,0.10132660558032343,0.6483236603118552,0.7291348467670563,0.01828449654906891,0.989940352257588,0.4445085489378338,1.05237082734563,0.46547952401816406,1.321098090840959,1.1793328374532563
2018-12-19,0.329412837476743,-0.8656989375425869,0.5201675859335538,0.3041021885052563,-0.18410338406390778,0.438233280662151,-2.3340969723426257,-0.1199929023686619,0.6773182125837018,-2.2128826510312503,-0.4124472244264889,0.2778519228665913,0.2799086925858354,0.04855120689057164,-0.2972627176219352,-1.299159280347259,-0.8093714075645098,-1.2025264557360487,0.22927416325338587,0.8144687645526918,-0.008012315327557246,0.5415011410480604,0.5988372498974137,0.12446222671741591,0.9476856126513203,0.21160917004078478,1.1787167036153212,0.46217688925508976,1.2465101829081835,1.1273567008692122
2018-12-20,0.2589496150560468,-0.8586464291958638,0.472759829215899,0.11561368736258201,-0.337521286616756,0.38050837456316433,-3.03973158042022,-0.37468798050766544,0.5756400462266142,-2.408823776885155,-0.7009302427624939,0.19450569227947145,0.24000285868932314,0.03768531300262243,-0.34342083904913506,-1.3300100140724436,-0.8686319488049606,-1.111405033297878,0.1294198659794381,0.7453081073835267,-0.05414402256787538,0.5039481701404366,0.5765298995584935,0.08745782066873087,0.8199875738993685,0.2667687018631528,1.1873176774125038,0.5629116636452416,1.2430218480814366,1.101221900855806
2018-12-21,0.06296909428307601,-1.2432865175844545,0.3596886548576946,-0.1260143539400012,-0.5766261428362585,0.15485959278122252,-3.21035100242837,-0.4446839746682774,0.5595572074045024,-2.4722233948492462,-0.9288706445495404,0.1468930361817212,0.12990965114716468,-0.07914630941412107,-0.4920878575458629,-1.6457286024284472,-1.0928918371794694,-1.33935219348112,-0.025574052140819575,0.6384011289618519,-0.13148920552651308,0.5605347274067297,0.4704777434408732,-0.31807369460905943,0.7518095514297005,0.2517532479037342,1.1935217574132886,0.5386116736513584,1.2395333481551711,1.0458181886713427
2018-12-24,0.022299475053556558,-1.285303910954673,0.2544662955845694,-0.4733375179402555,-0.7678446216459166,0.0423488107029946,-4.104060196981235,-0.7431212396263847,0.3294139566737311,-2.5378111537566914,-1.3497073800178823,-0.027307853455953938,0.029621786395493448,-0.18321473588239923,-0.5751226641751709,-1.790761264460195,-1.2044178330848256,-1.7263413581438682,-0.12798992823222,0.4996292960465053,-0.16740017792796313,0.34880896312166637,0.4399554640351297,-0.5649150565348502,0.6602027199809763,-0.19574401781364895,1.064605805935455,0.4972762984303775,0.9946481936410408,0.8788172822405402
